model,dataset,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max,baseline_dataset,absmax_abs_diff_from_baseline,absmax_rel_diff_from_baseline,width_abs_diff_from_baseline,width_rel_diff_from_baseline
OPT-350M,hellaswag,9,key,1,-0.1619550227228056,0.09228006986028187,0.25423509258308746,0.1619550227228056,wikitext,-0.0037463361535241824,-0.02260896458,-0.045774776931540195,-0.1525775702
OPT-350M,hellaswag,9,key,2,-0.03490258930836776,-0.03484063138402344,6.195792434431774e-05,0.03490258930836776,wikitext,0.01922929686426038,1.226883052,5.9441847424436534e-05,23.62481328
OPT-350M,hellaswag,10,key,0,-3.6160191765786522,3.922161023710923,7.538180200289576,3.922161023710923,wikitext,-0.08943305873588514,-0.02229364609,-0.4455299060934026,-0.05580487019
OPT-350M,hellaswag,10,key,1,-0.10518927527240121,0.12922666442544214,0.23441593969784336,0.12922666442544214,wikitext,-0.015133167688919563,-0.1048294908,-0.029472372026447424,-0.1116850225
OPT-350M,hellaswag,10,key,2,0.011889498090369866,0.011946577662948892,5.707957257902567e-05,0.011946577662948892,wikitext,-0.0004727475771660102,-0.03806548005,5.430985887286757e-05,19.60847388
OPT-350M,hellaswag,11,key,0,-3.5174464246792874,3.8573436429661228,7.37479006764541,3.8573436429661228,wikitext,0.007346413356193793,0.001908160686,-0.30200237473047586,-0.03933965611
OPT-350M,hellaswag,11,key,1,-0.07935941912106699,0.1282102226839815,0.2075696418050485,0.1282102226839815,wikitext,-0.04319987123224192,-0.2520264136,-0.03682832646013323,-0.1506899862
OPT-350M,hellaswag,11,key,2,0.024155378978625672,0.024206754470587163,5.1375491961491715e-05,0.024206754470587163,wikitext,-0.024941805099725337,-0.5074778451,5.007687161574792e-05,38.56159483
OPT-350M,hellaswag,12,key,0,-3.1919996555455223,3.445640364226554,6.637640019772077,3.445640364226554,wikitext,-0.09367147087982897,-0.02646601239,-0.3862684465399795,-0.05499337703
OPT-350M,hellaswag,12,key,1,-0.09450155342036486,0.11076991596381087,0.20527146938417573,0.11076991596381087,wikitext,-0.033339715297270686,-0.2313496676,-0.02985976053049627,-0.1269918953
OPT-350M,hellaswag,12,key,2,0.008250644244416029,0.008302305381374381,5.1661136958352366e-05,0.008302305381374381,wikitext,-0.018312918604662852,-0.688061788,4.982142480187968e-05,27.08109778
OPT-350M,hellaswag,13,key,0,-3.416517516580521,3.5482499474560965,6.964767464036617,3.5482499474560965,wikitext,-0.10474484421057007,-0.02867369109,-0.28056442869387865,-0.03872347504
OPT-350M,hellaswag,13,key,1,-0.09000598576315641,0.13071026038909733,0.22071624615225374,0.13071026038909733,wikitext,-0.00232993104485657,-0.01751298626,-0.027101638793446597,-0.1093611093
OPT-350M,hellaswag,13,key,2,0.02063797054885853,0.02069392564778073,5.5955098922200186e-05,0.02069392564778073,wikitext,0.011520885798857893,1.255950698,5.358105860263536e-05,22.56956555
