model,gpu,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max
OPT-2.7B,RTX 5060,15,key,2,0.03095629536513741,0.030958351514018174,2.0561488807621653e-06,0.030958351514018174
OPT-2.7B,RTX 5060,16,key,0,-5.970329122340425,5.934397163120567,11.904726285460992,5.970329122340425
OPT-2.7B,RTX 5060,16,key,1,-0.19625356687721632,0.18512698775487588,0.3813805546320922,0.19625356687721632
OPT-2.7B,RTX 5060,16,key,2,-0.005501947504408816,-0.005500888993554082,1.0585108547343444e-06,0.005501947504408816
OPT-2.7B,RTX 5060,17,key,0,-5.547706117021277,5.613752216312057,11.161458333333334,5.613752216312057
OPT-2.7B,RTX 5060,17,key,1,-0.13852772814162234,0.20903199107934398,0.3475597192209663,0.20903199107934398
OPT-2.7B,RTX 5060,17,key,2,0.035400282406637854,0.035400931716810725,6.493101728718975e-07,0.035400931716810725
OPT-2.7B,RTX 5060,18,key,0,-5.16084884751773,5.1497672872340425,10.310616134751772,5.16084884751773
OPT-2.7B,RTX 5060,18,key,1,-0.13367305241578015,0.17420126191267732,0.30787431432845747,0.17420126191267732
OPT-2.7B,RTX 5060,18,key,2,0.02038479527683123,0.0203854445870041,6.493101728718975e-07,0.0203854445870041
OPT-2.7B,RTX 5060,19,key,0,-5.436474955673759,5.40306405141844,10.839539007092199,5.436474955673759
OPT-2.7B,RTX 5060,19,key,1,-0.15013609541223405,0.16976777205230498,0.319903867464539,0.16976777205230498
OPT-2.7B,RTX 5060,19,key,2,0.00994818092237973,0.009949052587468574,8.716650888428851e-07,0.009949052587468574
OPT-2.7B,RTX 5060,20,key,0,-4.61824024822695,4.857740469858156,9.475980718085106,4.857740469858156
OPT-2.7B,RTX 5060,20,key,1,-0.09379761607934398,0.2143225703679078,0.3081201864472518,0.2143225703679078
OPT-2.7B,RTX 5060,20,key,2,0.06029147966533688,0.060293427595855494,1.9479305186156926e-06,0.060293427595855494
